tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
3869,2,3869,Lupinus,"",eukaryota,false,5349458.863818113,99,-100,0.0,0,,,0,0,10^0,0.00595765,0.0402715,,,99,540.3493801836478,45670,38,44816,67.3232,137.649,10^-54.4038,0.0173062,0.0754741,,,[3870]
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,5349458.863818113,100,,,,,,,,,,,,,100,540.3493801836478,45670,38,44816,67.3232,137.649,10^-54.4038,,,,,
2094023,2,2094023,Glaesserella,"",bacteria,false,3958231.761348215,99,-0.06890264295618528,0.13014765014276605,11,,,97.62,106.7,10^-59.1402,0.223632,1.35676,,,99,403.8599899975615,34134,6,34111,81.3864,121.379,10^-58.5762,0.232361,0.98371,,,[738]
738,1,2094023,Glaesserella parasuis,"",bacteria,false,3958231.761348215,99,-0.06890264295618528,0.13014765014276605,11,,,97.62,106.7,10^-59.1402,0.223632,1.35676,,,99,403.8599899975615,34134,6,34111,81.3864,121.379,10^-58.5762,0.218204,0.908027,,,
117563,2,117563,Granulicatella,"",bacteria,false,2342307.4765183073,99,99,317.35912907085583,26823,2,26376,95.059,2120.48,10^-302.291,0.0584768,0.272121,,,-0.056368564946504766,1.5617718017131927,132,2,8,98.362,49.224,10^-262.14,2.18788,11.1074,,,"[46124, 137732, 2049028, 316089, 2558277, 137733, 1581071, 1581074]"
46124,1,117563,Granulicatella adiacens,"",bacteria,false,2342307.4765183073,99,99,238.98658047579377,20199,1,19755,93.2967,2377.55,10^-300.143,0.00458005,0.0245224,,,0.12745484769553517,0.17747406837649918,15,,,97.3039,51.1429,10^-271.499,0.104783,0.570328,,,
137732,1,117563,Granulicatella elegans,"",bacteria,false,768013.3823828521,99,99,78.3607169905036,6623,1,6621,99.3323,1497.45,10^-307.549,0.0182063,0.145081,,,-0.11167287794634215,0.769054296298163,65,1,4,98.7617,49.2131,10^-247.201,1.9024,10.1488,,,
2049028,1,117563,Granulicatella sp.,"",bacteria,false,2.6677222798936326,100,,,,,,,,,,,,,100,0.47326418233733114,40,1,4,97.7067,48.0,10^-281.449,,,,,
316089,1,117563,uncultured Granulicatella sp.,"",bacteria,false,0.5965791228650354,0.5093182176897763,0.5093182176897763,0.011831604558433278,1,,,99.1,107.0,10^-59.5686,0.00196662,0.019369,,,,,,,,,,,,,,,
2558277,1,117563,Granulicatella sp. WM01,"",bacteria,false,0.13338611399468162,100,,,,,,,,,,,,,100,0.023663209116866556,2,,,100.0,49.0,10^-307.653,,,,,
137733,1,117563,Granulicatella balaenopterae,"",bacteria,false,0.0018625582389572215,0.9309106138946794,,,,,,,,,,,,,0.9309106138946794,0.03549481367529984,3,,,99.2247,74.0,10^-141.11,0.00479785,0.0329752,,,
1581071,1,117563,Granulicatella sp. HMSC30F09,"",bacteria,false,0.0008286010592021291,0.24848195494627487,,,,,,,,,,,,,0.24848195494627487,0.05915802279216639,5,,,99.6,42.4,10^-307.653,0.0288472,0.121984,,,
1581074,1,117563,Granulicatella sp. HMSC31F03,"",bacteria,false,0.00023355047307349432,0.1750935431575782,,,,,,,,,,,,,0.1750935431575782,0.023663209116866556,2,,,100.0,39.5,10^-307.653,0.0104032,0.075731,,,
127,2,127,Isosphaera,"",bacteria,false,2172771.6799659817,99,99,221.68877461136432,18737,1,18737,82.528,269.0,10^-56.4535,0.066277,0.261618,,,-100,0.0,0,,,0,0,10^0,0.0230974,0.0779934,,,[128]
128,1,127,Isosphaera pallida,"",bacteria,false,2172771.6799659817,99,99,221.68877461136432,18737,1,18737,82.528,269.0,10^-56.4535,0.0488695,0.236371,,,-100,0.0,0,,,0,0,10^0,0.0227618,0.0777387,,,
2529408,2,2529408,Schaalia,"",bacteria,false,2089055.078487949,100,100,251.8238714216939,21284,45,20662,95.9703,1541.84,10^-295.111,,,,,100,7.442079267254532,629,10,428,95.3155,66.4383,10^-128.656,,,,,"[1660, 52773, 181487, 29316, 183916, 52768, 131111]"
1660,1,2529408,Schaalia odontolytica,"",bacteria,false,2089055.078487949,99,99,211.00483569509908,17834,40,17290,95.5588,1664.72,10^-294.141,0.113188,0.346568,,,0.19035525637779352,5.63184376981424,476,8,300,99.2663,70.6364,10^-147.342,3.56529,10.8563,,,
52773,1,2529408,Schaalia meyeri,"",bacteria,false,23245.54730256878,26.33744285646101,5.645720054910939,40.51141400807554,3424,5,3372,98.0769,920.867,10^-301.938,1.63922,6.88525,,,26.33744285646101,0.14197925470119935,12,1,6,98.8825,64.75,10^-180.031,0.000690989,0.00536454,,,
181487,1,2529408,Schaalia cardiffensis,"",bacteria,false,3076.7279847610034,100,100,0.30762171851926523,26,,,97.392,124.92,10^-70.0639,,,,,0.21586233964641738,0.023663209116866556,2,,,93.3,45.0,10^-307.653,0.00990287,0.0637459,,,
29316,1,2529408,Schaalia hyovaginalis,"",bacteria,false,118.31604558433278,100,,,,,,,,,,,,,100,0.011831604558433278,1,,,100.0,44.0,10^-307.653,,,,,
183916,1,2529408,Schaalia vaccimaxillae,"",bacteria,false,0.099207048162143,0.08384919194364948,,,,,,,,,,,,,0.08384919194364948,0.011831604558433278,1,,,100.0,49.0,10^-307.653,0.00861468,0.0383656,,,
52768,1,2529408,Schaalia georgiae,"",bacteria,false,-0.33054522528747177,-0.10153467348918306,-100,0.0,0,,,0,0,10^0,0.00258555,0.0254647,,,-0.13968740404354846,0.023663209116866556,2,,,97.95,41.5,10^-307.653,0.0578612,0.244818,,,
131111,1,2529408,Schaalia turicensis,"",bacteria,false,-17.19635843793607,-0.10766116484412663,,,,,,,,,,,,,-0.10766116484412663,1.5972666153884925,135,1,122,81.6568,53.5625,10^-52.8224,2.62001,9.49965,,,
