tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
6281,2,6281,Onchocerca,"",eukaryota,false,1136623.5648935786,100,-100,0.0,0,,,0,0,10^0,0.0750257,0.358021,,,100,113.66235648935786,9657,1,9657,65.799,269.0,10^-101.917,,,,,[42157]
42157,1,6281,Onchocerca ochengi,"",eukaryota,false,1136623.5648935786,100,,,,,,,,,,,,,100,113.66235648935786,9657,1,9657,65.799,269.0,10^-101.917,,,,,
3869,2,3869,Lupinus,"",eukaryota,false,189348.98622994145,99,-100,0.0,0,,,0,0,10^0,0.00595765,0.0402715,,,99,19.12616022524661,1625,4,1354,77.9838,152.25,10^-92.6101,0.0173062,0.0754741,,,[3870]
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,189348.98622994145,100,,,,,,,,,,,,,100,19.12616022524661,1625,4,1354,77.9838,152.25,10^-92.6101,,,,,
907197,2,907197,Psychrosphaera,"",bacteria,false,73209.05636986703,100,,,,,,,,,,,,,100,7.320905636986703,622,1,622,82.474,97.0,10^-52.7077,,,,,[716813]
716813,1,907197,Psychrosphaera saromensis,"",bacteria,false,73209.05636986703,100,,,,,,,,,,,,,100,7.320905636986703,622,1,622,82.474,97.0,10^-52.7077,,,,,
91914,2,91914,Asaia,"",bacteria,false,20478.150527278147,23.274751672016958,-100,0.0,0,,,0,0,10^0,0.464104,2.5978,,,23.274751672016958,31.178583653340475,2649,1,2649,67.586,145.0,10^-47.6968,0.333719,1.32525,,,[610243]
610243,1,91914,Asaia platycodi,"",bacteria,false,20478.150527278147,28.219498557840556,,,,,,,,,,,,,28.219498557840556,31.178583653340475,2649,1,2649,67.586,145.0,10^-47.6968,0.229413,1.09673,,,
6268,2,6268,Anisakis,"",eukaryota,false,5767.272929458979,100,-100,0.0,0,,,0,0,10^0,0.216685,0.726397,,,100,0.5767272929458979,49,,,98.8213,45.8936,10^-307.653,,,,,[6269]
6269,1,6268,Anisakis simplex,herring worm,eukaryota,false,5767.272929458979,100,-100,0.0,0,,,0,0,10^0,0.216685,0.726397,,,100,0.5767272929458979,49,,,98.8213,45.8936,10^-307.653,,,,,
53246,2,53246,Pseudoalteromonas,"",bacteria,false,1538.214745669359,1.6134574884593562,-100,0.0,0,,,0,0,10^0,1.69043,7.42341,,,1.6134574884593562,9.533655250738311,810,1,808,82.9831,46.9568,10^-21.7496,1.48965,4.98557,,,[2066515]
2066515,1,53246,Pseudoalteromonas sp. S558,"",bacteria,false,1538.214745669359,100,,,,,,,,,,,,,100,9.533655250738311,810,1,808,82.9831,46.9568,10^-21.7496,,,,,
426668,2,426668,Ulnaria,"",eukaryota,false,706.1966852398749,100,100,0.09415955803198332,8,1,6,95.7865,234.75,10^-104.169,,,,,,,,,,,,,,,,,"[426669, 1436140]"
426669,1,426668,Ulnaria ulna,"",eukaryota,false,706.1966852398749,100,100,0.07061966852398749,6,1,6,94.382,267.0,10^-111.523,,,,,,,,,,,,,,,,,
1436140,1,426668,Ulnaria acus,"",eukaryota,false,235.3988950799583,100,100,0.02353988950799583,2,,,100.0,138.0,10^-82.1079,,,,,,,,,,,,,,,,,
-202691359,2,-202691359,non-genus-specific reads in family Lacipirellulaceae,,bacteria,false,706.1966852398749,100,100,0.07061966852398749,6,,,80.667,300.0,10^-54.7773,,,,,,,,,,,,,,,,,[2528024]
2528024,1,-202691359,Planctomycetes bacterium I41,"",bacteria,false,706.1966852398749,100,100,0.07061966852398749,6,1,6,80.667,300.0,10^-54.7773,,,,,,,,,,,,,,,,,
