tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
6281,2,6281,Onchocerca,"",eukaryota,false,1140298.1101255286,100,-100,0.0,0,,,0,0,10^0,0.0750257,0.358021,,,100,114.02981101255286,9091,1,9084,65.8149,268.792,10^-108.653,,,,,[42157]
42157,1,6281,Onchocerca ochengi,"",eukaryota,false,1140298.1101255286,100,,,,,,,,,,,,,100,114.02981101255286,9091,1,9084,65.8149,268.792,10^-108.653,,,,,
3869,2,3869,Lupinus,"",eukaryota,false,312926.60049952357,99,-100,0.0,0,,,0,0,10^0,0.00595765,0.0402715,,,99,31.6087475252044,2520,8,2450,86.1943,101.175,10^-52.8343,0.0173062,0.0754741,,,[3870]
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,312926.60049952357,100,,,,,,,,,,,,,100,31.6087475252044,2520,8,2450,86.1943,101.175,10^-52.8343,,,,,
35127,2,35127,Thalassiosira,"",eukaryota,false,13645.834971782797,99,11.89845911568016,0.1505178453581162,12,,,96.2938,149.4,10^-77.5606,0.00229993,0.0124569,,,99,1.7309552216183364,138,5,131,81.5648,65.2188,10^-43.3375,0.0013933,0.00967816,,,"[159749, 35128, 1366305]"
159749,1,35127,Thalassiosira oceanica,"",eukaryota,false,13645.834971782797,99,-100,0.0,0,,,0,0,10^0,0.000671378,0.0066123,,,99,1.3922900695625748,111,4,111,79.1341,71.6733,10^-35.1729,0.0013933,0.00967816,,,
35128,1,35127,Thalassiosira pseudonana,"",eukaryota,false,3367.39702976978,100,12.238351791657644,0.10034523023874413,8,,,96.1923,149.25,10^-76.0898,0.00140709,0.00808427,,,100,0.3386651520557614,27,1,20,90.6575,41.0741,10^-73.8792,,,,,
1366305,1,35127,Thalassiosira sp. 11BOF,"",eukaryota,false,59.697680972460475,100,100,0.050172615119372065,4,,,96.7,150.0,10^-83.4437,,,,,,,,,,,,,,,,,
286,2,286,Pseudomonas,"",bacteria,false,12646.399485035545,0.5768060737415743,0.5768060737415743,744.9253598310969,59389,89,56523,98.5964,1146.71,10^-277.605,265.851,830.564,,,0.4556213462442531,501.17425242740757,39956,82,38405,92.3799,95.3796,10^-64.8307,218.643,620.101,,,"[312306, 2078787, 29438, 287, 2083051, 2487887, 2587597, 2213015, 2054914, 2615212, 2597770, 1306993, 2697566, 2653166, 2502205, 2078785, 1636610, 1149133, 2083053, 251062, 2653165, 2559075, 2213079, 2078786, 1785145, 2706126, 1880674, 718321, 624025, 492193, 421618, 2571105, 2485142, 2364649, 2093746, 2015555, 1148509, 485751, 440512, 78327, 301, 1207075, 36746, 1661037, 47884, 46257, 321846, 1844109, 33069, 306, 1007099, 150396, 254161, 157783, 1546029, 1581118, 271420, 1028989, 47877, 1844093, 1855380, 53408, 300, 157782, 237609, 797277, 587753, 69328, 251701, 70775, 46680, 1649877, 47880, 76759, 1338689, 114707, 294, 29442, 317, 303, 316]"
312306,1,286,Pseudomonas entomophila,"",bacteria,false,12646.399485035545,99,99,221.44937998312847,17655,13,17398,96.6275,1234.52,10^-292.288,0.303393,0.87772,,,2.289351715070014,0.765132380570424,61,1,4,98.8027,62.7288,10^-217.956,0.0524984,0.311282,,,
