tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
3869,2,3869,Lupinus,"",eukaryota,false,102588.78928474896,99,-100,0.0,0,,,0,0,10^0,0.00595765,0.0402715,,,99,10.36250396815646,1002,7,951,82.9403,116.768,10^-73.1517,0.0173062,0.0754741,,,[3870]
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,102588.78928474896,100,,,,,,,,,,,,,100,10.36250396815646,1002,7,951,82.9403,116.768,10^-73.1517,,,,,
1283313,2,1283313,Alloprevotella,"",bacteria,false,72795.19996877921,99,99,7.3530342528535355,711,3,710,88.2699,1492.48,10^-294.59,0.0117481,0.0677236,,,-0.15554856313212947,0.46538191473756557,45,,,89.2672,50.2143,10^-282.646,4.7593,27.605,,,"[2133944, 1872471, 2491043, 712469]"
2133944,1,1283313,Alloprevotella sp. E39,"",bacteria,false,72795.19996877921,100,100,7.3530342528535355,711,3,710,88.2699,1492.48,10^-294.59,,,,,100,0.010341820327501456,1,,,93.9,49.0,10^-307.653,,,,,
1872471,1,1283313,Alloprevotella sp.,"",bacteria,false,4.343369288706451,100,,,,,,,,,,,,,100,0.27922914884253935,27,,,88.4802,53.4583,10^-263.89,,,,,
2491043,1,1283313,Alloprevotella sp. OH1205_COT-284,"",bacteria,false,0.32173105842270006,100,,,,,,,,,,,,,100,0.020683640655002913,2,,,74.45,45.0,10^-307.653,,,,,
712469,1,1283313,Prevotella sp. oral taxon 473,"",bacteria,false,-0.003569726097667502,-0.1479383066162251,,,,,,,,,,,,,-0.1479383066162251,0.15512730491252186,15,,,92.1933,45.8,10^-307.653,2.98785,19.148,,,
10379,2,10379,Rhadinovirus,"",viruses,false,39712.590057605594,100,100,2.089047706155294,202,5,106,99.8768,409.324,10^-185.228,,,,,100,1.8822112996052651,182,5,106,99.8887,78.45,10^-171.253,,,,,[37296]
37296,1,10379,Human gammaherpesvirus 8,"",viruses,false,39712.590057605594,100,100,2.089047706155294,202,5,106,99.8768,409.324,10^-185.228,,,,,100,1.8822112996052651,182,5,106,99.8887,78.45,10^-171.253,,,,,
117563,2,117563,Granulicatella,"",bacteria,false,7500.763877144956,18.407308368246895,18.407308368246895,5.067491960475714,490,4,488,99.2381,915.95,10^-306.433,0.0584768,0.272121,,,-0.18300886751962459,0.15512730491252186,15,,,99.46,45.4,10^-307.653,2.18788,11.1074,,,"[46124, 316089, 2678504, 2049028, 1581074, 1581071, 137732]"
