tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
3869,2,3869,Lupinus,"",eukaryota,false,13353797.597924829,99,-100,0.0,0,,,0,0,10^0,0.00595765,0.0402715,,,99,1348.8684442348313,127019,49,125350,67.8547,202.343,10^-74.8215,0.0173062,0.0754741,,,[3870]
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,13353797.597924829,100,,,,,,,,,,,,,100,1348.8684442348313,127019,49,125350,67.8547,202.343,10^-74.8215,,,,,
1023,2,1023,Microscilla,"",bacteria,false,10412051.205411725,99,-100,0.0,0,,,0,0,10^0,0.00121759,0.0119919,,,99,1062.3458020009923,100038,1,100029,53.9713,188.983,10^-36.8008,0.172723,0.633534,,,[1027]
1027,1,1023,Microscilla marina,"",bacteria,false,10412051.205411725,99,,,,,,,,,,,,,99,1062.3458020009923,100038,1,100029,53.9713,188.983,10^-36.8008,0.145603,0.5887,,,
127,2,127,Isosphaera,"",bacteria,false,10411218.557721416,99,99,1062.2608466198772,100030,1,100029,82.6421,529.994,10^-56.7929,0.066277,0.261618,,,-100,0.0,0,,,0,0,10^0,0.0230974,0.0779934,,,[128]
128,1,127,Isosphaera pallida,"",bacteria,false,10411218.557721416,99,99,1062.2608466198772,100030,1,100029,82.6421,529.994,10^-56.7929,0.0488695,0.236371,,,-100,0.0,0,,,0,0,10^0,0.0227618,0.0777387,,,
3705,2,3705,Brassica,"",eukaryota,false,4616615.118927233,99,-100,0.0,0,,,0,0,10^0,0.0721298,0.247635,,,99,471.0351105935346,44356,1,44356,33.333,246.0,10^-22.8477,0.0254745,0.117569,,,[3708]
3708,1,3705,Brassica napus,rape,eukaryota,false,4616615.118927233,99,-100,0.0,0,,,0,0,10^0,0.0127751,0.052044,,,99,471.0351105935346,44356,1,44356,33.333,246.0,10^-22.8477,0.00866297,0.0381011,,,
906,2,906,Megasphaera,"",bacteria,false,2743006.4252391905,99,99,305.1915872339163,28739,22,27819,92.3123,1238.36,10^-278.294,0.641464,2.79099,,,70.77180903926366,21.53618911271729,2028,79,940,96.5609,164.159,10^-221.391,0.10783,0.302781,,,"[2144175, 187326, 907, 1675036, 165188, 1111454, 2045301, 699193, 319446, 537288, 2530045, 230139, 39029, 1263087]"
2144175,1,906,Megasphaera stantonii,"",bacteria,false,2743006.4252391905,100,100,277.0713560847667,26091,14,25466,92.7326,1333.04,10^-296.243,,,,,,,,,,,,,,,,,
187326,1,906,Megasphaera micronuciformis,"",bacteria,false,145459.8578550381,99,,,,,,,,,,,,,99,20.760971260040584,1955,73,900,96.8266,167.121,10^-223.387,0.0209802,0.117259,,,
907,1,906,Megasphaera elsdenii,"",bacteria,false,24666.061033888993,9.345383645632,9.345383645632,26.62289255699322,2507,5,2333,88.0783,354.46,10^-112.037,0.633661,2.78097,,,5.1371524827651625,0.09557480375466254,9,1,4,100.0,31.2222,10^-174.394,0.00314767,0.0179919,,,
1675036,1,906,Megasphaera hexanoica,"",bacteria,false,11249.15440192378,100,100,1.1362782224165435,107,3,20,90.5444,163.667,10^-47.1083,,,,,,,,,,,,,,,,,
165188,1,906,uncultured Megasphaera sp.,"",bacteria,false,2523.174819123091,100,100,0.25486614334576674,24,,,99.275,119.417,10^-68.0656,,,,,,,,,,,,,,,,,
1111454,1,906,Megasphaera sp. BV3C16-1,"",bacteria,false,1352.8003520580155,100,,,,,,,,,,,,,100,0.19114960750932508,18,2,14,96.7954,139.062,10^-131.691,,,,,
2045301,1,906,Megasphaera sp. Marseille-P4857,"",bacteria,false,1127.3336267150128,100,,,,,,,,,,,,,100,0.15929133959110423,15,2,10,97.9365,103.267,10^-161.244,,,,,
699193,1,906,Megasphaera genomosp. type_2,"",bacteria,false,601.2446009146735,100,,,,,,,,,,,,,100,0.0849553811152556,8,,,87.8875,41.5,10^-307.653,,,,,
319446,1,906,Megasphaera sp. oral clone OH6A,"",bacteria,false,315.39685239038636,100,100,0.03185826791822084,3,,,99.6667,116.667,10^-67.0892,,,,,,,,,,,,,,,,,
