tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
4107,2,4107,Solanum,"",eukaryota,false,81710424.42006883,99,-100,0.0,0,,,0,0,10^0,0.263415,1.3514,,,99,8336.947701261997,4767,1,4767,98.529,408.0,10^-307.653,0.0268046,0.130795,,,[4081]
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,81710424.42006883,99,-100,0.0,0,,,0,0,10^0,0.21951,1.22879,,,99,8336.947701261997,4767,1,4767,98.529,408.0,10^-307.653,0.00338278,0.0219514,,,
586,2,586,Providencia,"",bacteria,false,81710424.42006883,99,99,8338.696588969415,4768,1,4767,99.7781,1353.68,10^-307.594,0.061562,0.176689,,,-100,0.0,0,,,0,0,10^0,5.12827,33.5079,,,"[587, 158850]"
587,1,586,Providencia rettgeri,"",bacteria,false,81710424.42006883,99,99,8336.947701261997,4767,1,4767,99.778,1354.0,10^-307.653,0.0203782,0.120677,,,-100,0.0,0,,,0,0,10^0,0.0858453,0.375259,,,
158850,1,586,Providencia rustigianii,"",bacteria,false,17313.988303439015,100,100,1.7488877074180822,1,,,100.0,150.0,10^-90.3098,,,,,-100,0.0,0,,,0,0,10^0,0.00577352,0.0476512,,,
80865,2,80865,Delftia,"",bacteria,false,5073465.045456365,23.38237954887923,2.010675959813574,3824.8174161233455,2187,25,143,98.7062,158.972,10^-88.0721,258.582,1773.65,,,23.38237954887923,3210.9578308195987,1836,25,141,98.0809,51.0573,10^-260.447,51.2735,135.131,,,"[80866, 1920191, 180282, 2035216, 1472718, 469553, 1827145, 558537, 1468410, 742013, 1339242, 2613840, 1537702, 2692194, 1805105, 1895749]"
80866,1,80865,Delftia acidovorans,"",bacteria,false,5073465.045456365,99,31.269849026192215,2201.8496236393653,1259,19,108,98.8309,161.57,10^-88.9101,26.7971,69.5575,,,99,2131.894115342642,1219,17,100,97.973,51.0905,10^-258.312,7.24411,19.868,,,
1920191,1,80865,Delftia sp. HK171,"",bacteria,false,380287.7969122362,99,29.032452474852825,480.9441195399726,275,2,9,98.6448,155.358,10^-87.1502,5.54642,16.3747,,,99,152.15323054537313,87,,,98.3493,49.65,10^-284.663,0.191538,0.576825,,,
180282,1,80865,Delftia tsuruhatensis,"",bacteria,false,373812.5177740207,33.25502489909899,8.487442283179567,468.701905588046,268,2,16,98.2896,155.36,10^-85.8164,18.438,53.0506,,,33.25502489909899,470.4507932954641,269,3,14,98.8837,50.2812,10^-272.358,2.59915,14.0686,,,
2035216,1,80865,Delftia sp. 60,"",bacteria,false,134947.41533862217,100,,,,,,,,,,,,,100,57.71329434479671,33,,,96.0797,49.1905,10^-254.539,,,,,
1472718,1,80865,Delftia sp. K82,"",bacteria,false,76645.8038535165,45.71449175075412,,,,,,,,,,,,,45.71449175075412,71.70439600414137,41,1,6,98.7852,54.8889,10^-271.687,0.544761,1.55661,,,
