tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
426668,2,426668,Ulnaria,"",eukaryota,false,273117558.6387378,100,100,29096.060471705256,26906,23,25057,98.7356,3525.24,10^-286.861,,,,,100,1853.513998680696,1714,18,1507,96.2862,293.891,10^-260.839,,,,,"[1436140, 426669]"
1436140,1,426668,Ulnaria acus,"",eukaryota,false,273117558.6387378,100,100,25748.056189374194,23810,20,23399,98.5969,3955.59,10^-301.81,,,,,100,1563.6996744995836,1446,17,1245,95.6383,258.207,10^-251.057,,,,,
426669,1,426668,Ulnaria ulna,"",eukaryota,false,36378186.06512171,100,100,3348.0042823310587,3096,3,1658,99.787,261.058,10^-173.475,,,,,100,289.81432418111234,268,1,262,99.3865,464.654,10^-307.653,,,,,
36086,2,36086,Trichuris,"",eukaryota,false,205340557.78443438,99,,,,,,,,,,,,,99,20950.980286137576,19374,1,19369,62.9869,280.945,10^-85.0001,1.78019,7.37398,,,[36087]
36087,1,36086,Trichuris trichiura,human whipworm,eukaryota,false,205340557.78443438,99,,,,,,,,,,,,,99,20950.980286137576,19374,1,19369,62.9869,280.945,10^-85.0001,1.77963,7.374,,,
561,2,561,Escherichia,"",bacteria,false,179385453.78545514,99,99,18143.674369816054,16778,12,16238,99.7636,3166.99,10^-299.604,7.01386,38.484,,,34.67006901111872,1253.3388124101089,1159,18,628,89.705,206.989,10^-210.682,8.22569,35.9132,,,"[562, 564]"
562,1,561,Escherichia coli,"",bacteria,false,179385453.78545514,99,99,18143.674369816054,16778,12,16238,99.7636,3166.99,10^-299.604,5.50036,32.6038,,,36.10254344640671,1245.7690352859754,1152,17,622,90.0542,208.204,10^-211.942,7.8056,34.2902,,,
564,1,561,Escherichia fergusonii,"",bacteria,false,16643.561126618133,63.4174034573978,-100,0.0,0,,,0,0,10^0,0.0213151,0.12405,,,63.4174034573978,7.569777124133531,7,1,6,51.0128,72.4,10^-71.0912,0.0248818,0.118972,,,
4107,2,4107,Solanum,"",eukaryota,false,167291042.32483754,99,4.606308563056427,6.488380392114455,6,,,97.2,126.0,10^-69.3383,0.263415,1.3514,,,99,17070.92881165313,15786,1,15782,98.5253,407.907,10^-307.653,0.0268046,0.130795,,,"[4081, 198039, 28526]"
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,167291042.32483754,99,3.341561152089701,4.325586928076303,4,,,100.0,129.5,10^-76.3029,0.21951,1.22879,,,99,17068.766018189093,15784,1,15782,98.5251,407.954,10^-307.653,0.00338278,0.0219514,,,
