tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
4107,2,4107,Solanum,"",eukaryota,false,317559064.0371858,99,19.841363890921592,27.077034162191435,18,1,14,87.7711,159.667,10^-50.0659,0.263415,1.3514,,,99,32400.679934413405,21539,3,21535,98.4841,407.349,10^-307.236,0.0268046,0.130795,,,"[4081, 50273, 4113]"
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,317559064.0371858,99,-100,0.0,0,,,0,0,10^0,0.21951,1.22879,,,99,32400.679934413405,21539,3,21535,98.4841,407.349,10^-307.236,0.00338278,0.0219514,,,
50273,1,4107,Solanum pinnatisectum,tansyleaf nightshade,eukaryota,false,41785.744614363204,100,100,21.059915459482227,14,1,14,83.24,179.0,10^-41.2048,,,,,,,,,,,,,,,,,
4113,1,4107,Solanum tuberosum,potato,eukaryota,false,10832.639563188051,90.73486381794844,90.73486381794844,6.017118702709208,4,,,96.8333,121.0,10^-67.7881,0.0117773,0.0661856,,,-100,0.0,0,,,0,0,10^0,0.00681228,0.0493441,,,
586,2,586,Providencia,"",bacteria,false,317190477.90965295,99,99,32366.081501872828,21516,1,21512,99.776,1353.43,10^-307.532,0.061562,0.176689,,,2.2262974645052958,79.726822810897,53,1,33,86.0034,71.931,10^-157.012,5.12827,33.5079,,,"[587, 333962, 588]"
587,1,586,Providencia rettgeri,"",bacteria,false,317190477.90965295,99,99,32363.072942521474,21514,1,21512,99.7779,1353.72,10^-307.597,0.0203782,0.120677,,,-100,0.0,0,,,0,0,10^0,0.0858453,0.375259,,,
333962,1,586,Providencia heimbachae,"",bacteria,false,29784.73757841058,100,100,3.008559351354604,2,,,91.1,56.0,10^-19.3665,,,,,-100,0.0,0,,,0,0,10^0,0.00252552,0.014173,,,
588,1,586,Providencia stuartii,"",bacteria,false,395.94147091858395,2.2307111756475106,-100,0.0,0,,,0,0,10^0,0.0325081,0.109785,,,2.2307111756475106,79.726822810897,53,1,33,86.0034,71.931,10^-157.012,4.99666,33.5006,,,
1839,2,1839,Nocardioides,"",bacteria,false,235455998.50116786,99,99,36075.63518209306,23982,13,23527,95.3668,2574.15,10^-299.584,10.6761,39.4575,,,16.94707873785641,329.43724897332913,219,3,30,90.2806,51.1368,10^-267.136,5.42944,19.1188,,,"[2518371, 2714938, 2714939, 2712223, 2518370, 2582905, 196162, 2483798, 2045452, 402297, 2662361, 2589074, 2558918, 450734, 449461, 433648, 2340821, 424797, 2133958, 1548095, 2049295, 642762, 1168730, 715784, 2575373, 2714037, 1843, 2268090, 2135685, 110319, 2663858, 2663857, 2497878, 1736331, 748909, 2691959, 2569761, 2138300, 935844, 574700, 402596, 1005944, 1736408, 433660, 935866, 1736409]"
2518371,1,1839,Nocardioides seonyuensis,"",bacteria,false,235455998.50116786,100,100,23782.661672458144,15810,1,15764,95.5082,3154.75,10^-306.896,,,,,100,4.512839027031906,3,,,95.9,49.0,10^-307.653,,,,,
