"","sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","expected_bg_count","p_val","p_adj"
"503","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1549163,1,29203,"Cyclotella sp. L04_2","","eukaryota","false",500.594324050348,100,100,0.0588497237699896,5,NA,NA,100,116.667,"10^-67.5473",NA,NA,NA,NA,100,0.0470797790159917,4,NA,NA,100,37,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"504","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",2083051,1,286,"Pseudomonas sp. SWI6","","bacteria","false",52.1095635968143,100,100,11.004898344988,935,6,909,99.4288,378.472,"10^-233.435",NA,NA,NA,NA,100,0.0353098342619937,3,NA,NA,89.9333,49.3333,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"505","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",287,1,286,"Pseudomonas aeruginosa","","bacteria","false",5.96683897719271,0.640107492861574,0.640107492861574,208.045543471667,17676,11,17154,98.74,1961.81,"10^-289.114",52.8406,242.467,NA,NA,-0.218570287458106,2.71885723817352,231,3,14,99.5744,48.4486,"10^-268.91",28.732,119.015,NA,NA,"",503.139213378196,1.50124553376447e-09,7.43693941341785e-09
"506","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",2083053,1,286,"Pseudomonas sp. SWI44","","bacteria","false",4.99539594930269,100,100,0.235398895079958,20,NA,NA,94.6167,135.611,"10^-71.0282",NA,NA,NA,NA,100,0.117699447539979,10,NA,NA,96.2975,49.25,"10^-243.109",NA,NA,NA,NA,"",0,0,0
"508","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1736226,1,286,"Pseudomonas sp. Leaf58","","bacteria","false",0.108957900564098,100,100,0.0235398895079958,2,NA,NA,87.05,143,"10^-60.1322",NA,NA,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0164832,0.0735287,NA,NA,"",0,0,0
"509","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",303,1,286,"Pseudomonas putida","","bacteria","false",0.0316939547129103,0.0310965337728509,-0.196710511188071,3.49567359193738,297,NA,NA,98.8348,137.007,"10^-78.7223",16.839,67.8323,NA,NA,0.0310965337728509,6.15568110634091,523,4,427,99.6861,71.9892,"10^-91.7984",5.29575,27.6536,NA,NA,"",18.7228370352364,5.59296208420342e-05,0.00026214465663952
"510","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",312306,1,286,"Pseudomonas entomophila","","bacteria","false",0.0211642203499798,0.365052718363361,0.365052718363361,0.623807071961889,53,NA,NA,98.0087,126.652,"10^-70.998",0.303393,0.87772,NA,NA,0.247270938550822,0.129469392293977,11,NA,NA,92.9571,45.8571,"10^-307.653",0.0524984,0.311282,NA,NA,"",0,0,0
"511","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",69328,1,286,"Pseudomonas sp. VLB120","","bacteria","false",0.0165870049936963,0.528334814996795,0.00496062617565179,0.34132839786594,29,NA,NA,93.8478,129.261,"10^-65.232",0.336625,0.948146,NA,NA,0.528334814996795,0.0941595580319833,8,NA,NA,96.3803,54.5714,"10^-234.725",0.0271107,0.126906,NA,NA,"",0,0,0
"514","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",306,1,286,"Pseudomonas sp.","","bacteria","false",0.000611810427521792,0.202144660060064,-0.108745126874019,0.0353098342619937,3,NA,NA,99.6667,133.667,"10^-78.699",0.0587244,0.215316,NA,NA,0.202144660060064,0.0117699447539979,1,NA,NA,100,20,"10^-307.653",0.00491811,0.0338957,NA,NA,"",0.052081025697829,2.05428781353406e-05,9.69913014601124e-05
"515","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1338689,1,286,"Pseudomonas sp. JY-Q","","bacteria","false",-0.000199805088433225,-0.122252164918004,-0.122252164918004,0.0353098342619937,3,NA,NA,100,148.667,"10^-89.3961",1.0127,7.99487,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.019402,0.120458,NA,NA,"",0,0,0
"516","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1649877,1,286,"Pseudomonas sp. CCOS 191","","bacteria","false",-0.000304615904221094,-0.244773057017259,-0.279572112388393,0.0235398895079958,2,NA,NA,99,150,"10^-88.2447",0.301519,0.994302,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0180854,0.0738864,NA,NA,"",0,0,0
"519","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",75612,1,286,"Pseudomonas mandelii","","bacteria","false",-0.000326725283927556,-0.165652226606159,-0.299863784302038,0.0235398895079958,2,NA,NA,100,118,"10^-68.4559",0.364512,1.13709,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.123015,0.74261,NA,NA,"",0,0,0
"524","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",29442,1,286,"Pseudomonas tolaasii","","bacteria","false",-0.00107064192703675,-0.317886680656709,-0.327539940195192,0.0706196685239875,6,NA,NA,100,150,"10^-90.3098",0.569689,1.52369,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0489288,0.153919,NA,NA,"",0,0,0
"526","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",76759,1,286,"Pseudomonas monteilii","","bacteria","false",-0.00145578023067091,-0.19087060534836,-0.19087060534836,0.164779226555971,14,NA,NA,97.7071,108.857,"10^-59.4999",0.311578,0.769101,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.506391,1.33395,NA,NA,"",0.729134359769606,7.01886437932317e-05,0.000328499175892741
"527","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",114707,1,286,"uncultured Pseudomonas sp.","","bacteria","false",-0.00183176265459172,-0.120984727706654,-0.129320424544237,0.306018563603946,26,NA,NA,99.9696,142.565,"10^-85.1758",1.15064,6.53123,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00754318,0.0623482,NA,NA,"",0,0,0
"528","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",70775,1,286,"Pseudomonas plecoglossicida","","bacteria","false",-0.00312787572657465,-0.0189157400344297,-0.115850620239149,0.376638232127933,32,1,8,96.9782,166.714,"10^-84.8881",7.46095,61.1504,NA,NA,-0.0189157400344297,0.176549171309969,15,1,14,91.642,190.933,"10^-136.855",0.197993,1.13365,NA,NA,"",0,0,0
"531","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",2080259,1,-200,"Blacklegged tick picorna-like virus 2","","viruses","false",3.42475777976004,100,100,0.0706196685239875,6,NA,NA,99.5,74.6667,"10^-38.2423",NA,NA,NA,NA,100,0.0117699447539979,1,NA,NA,96.9,32,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"533","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1637999,1,-200,"Verrucomicrobia bacterium IMCC26134","","bacteria","false",-0.00139250917180621,-0.143761536362384,-0.143761536362384,0.0235398895079958,2,NA,NA,100,102,"10^-57.5376",0.190033,1.15812,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.294132,1.92554,NA,NA,"",0,0,0
"543","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",624,1,620,"Shigella sonnei","","bacteria","false",10.9947660737672,18.6532702404798,18.6532702404798,1.05929502785981,90,1,90,99.919,1230,"10^-307.653",0.0102948,0.0562368,NA,NA,-100,0,0,NA,NA,0,0,"10^0",3.91639,23.8843,NA,NA,"",3.08270598698718,1.06289557833065e-07,5.20932079486254e-07
"546","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",1314,1,1301,"Streptococcus pyogenes","","bacteria","false",-0.00253465737717772,-0.183374961098641,-0.251937257187906,0.0235398895079958,2,NA,NA,99.65,150,"10^-89.6153",0.237679,0.84997,NA,NA,-0.183374961098641,0.0353098342619937,3,NA,NA,51.515,33,"10^-4.19382",23.4125,127.483,NA,NA,"",0,0,0
"548","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",28037,1,1301,"Streptococcus mitis","","bacteria","false",-0.15079510961198,-0.150176439937313,-0.150176439937313,5.02576640995711,427,5,415,99.8617,873.812,"10^-300.496",81.1044,506.595,NA,NA,-0.153207333202966,0.0117699447539979,1,NA,NA,100,49,"10^-307.653",11.2396,73.2852,NA,NA,"",2.33318876373297,1.77304404992904e-39,9.28325502564473e-39
"549","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",47671,1,47670,"Lautropia mirabilis","","bacteria","false",7.1456394346326,52.8498105545911,52.8498105545911,0.388408176881931,33,2,28,95.8976,645.677,"10^-249.981",0.000744775,0.00733519,NA,NA,-0.351605325080446,0.0235398895079958,2,NA,NA,100,45,"10^-307.653",0.294103,0.769508,NA,NA,"",3.39524362558637,0.00202740924548941,0.00920769784270224
"550","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",52838,1,4640,"Musa balbisiana","Balbis banana","eukaryota","false",5.7533411573567,100,100,0.0235398895079958,2,NA,NA,100,150,"10^-90.3098",NA,NA,NA,NA,100,0.0117699447539979,1,NA,NA,100,40,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"551","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",2565554,1,165695,"Sphingobium sp. PAMC28499","","bacteria","false",1.2748972064669,100,100,0.270708729341952,23,1,20,99.7524,339.476,"10^-274.488",NA,NA,NA,NA,100,0.0235398895079958,2,NA,NA,99,49.5,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"552","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",13690,1,165695,"Sphingobium yanoikuyae","","bacteria","false",0.638768125980787,4.0766466762628,4.0766466762628,14.7242008872514,1251,2,1200,99.8368,2598.95,"10^-296.347",0.371714,3.52066,NA,NA,-0.298173899372124,0.435487955897923,37,1,20,98.25,54.8,"10^-156.931",2.62186,7.33254,NA,NA,"",3.83823258601702,1.69943703150598e-71,9.03001194958621e-71
"553","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",726,1,724,"Haemophilus haemolyticus","","bacteria","false",1.43024000688946,9.18198409277595,9.18198409277595,0.423718011143925,36,4,26,99.3667,206.5,"10^-104.87",0.00647029,0.045442,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.405898,2.16449,NA,NA,"",2.40613309035726,0.000156234064762834,0.000725936058493978
"556","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",529884,1,529883,"Rhodoluna lacicola","","bacteria","false",0.000383148029706441,0.0592674589118901,0.0592674589118901,0.0235398895079958,2,NA,NA,100,82,"10^-43.9208",0.0188238,0.079573,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00683057,0.0282134,NA,NA,"",0,0,0
"557","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",216778,1,40323,"Stenotrophomonas rhizophila","","bacteria","false",-0.0125636185573944,-0.30589723912017,-0.30589723912017,0.117699447539979,10,NA,NA,92.33,109.7,"10^-50.1683",1.57474,4.76317,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.158659,0.46424,NA,NA,"",0.781215385467435,0.000968415898377319,0.0044357029769203
"560","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",428991,1,165696,"Novosphingobium panipatense","","bacteria","false",0.0182578359707858,2.05963437211912,2.05963437211912,0.0235398895079958,2,NA,NA,100,136,"10^-80.7447",0.00110594,0.0108922,NA,NA,-0.344788745398458,0.0235398895079958,2,NA,NA,100,37,"10^-307.653",0.26438,0.698515,NA,NA,"",0,0,0
"564","OPS015_UGD-HIV-PNEU_BAL_RNA_1142_C2_S42",300019,1,33882,"Microbacterium paludicola","","bacteria","false",-0.0034566046255648,-0.231608830875695,-0.348736814485405,0.0235398895079958,2,NA,NA,100,141,"10^-84.1611",0.475862,1.29703,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00529474,0.0228607,NA,NA,"",0,0,0
