"","sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","expected_bg_count","p_val","p_adj"
"871","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",2133944,1,1283313,"Alloprevotella sp. E39","","bacteria","false",72795.1999687792,100,100,7.35303425285354,711,3,710,88.2699,1492.48,"10^-294.59",NA,NA,NA,NA,100,0.0103418203275015,1,NA,NA,93.9,49,"10^-307.653",NA,NA,NA,NA,"",0,0,0
"872","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",37296,1,10379,"Human gammaherpesvirus 8","","viruses","false",39712.5900576056,100,100,2.08904770615529,202,5,106,99.8768,409.324,"10^-185.228",NA,NA,NA,NA,100,1.88221129960527,182,5,106,99.8887,78.45,"10^-171.253",NA,NA,NA,NA,"",0,0,0
"873","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",46124,1,117563,"Granulicatella adiacens","","bacteria","false",7500.76387714496,99,99,4.11604449034558,398,3,396,99.1305,892.904,"10^-306.152",0.00458005,0.0245224,NA,NA,-0.111191662850139,0.0413672813100058,4,NA,NA,99,48.25,"10^-307.653",0.104783,0.570328,NA,NA,"",0,0,0
"874","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",796937,1,1913599,"Peptoanaerobacter stomatis","","bacteria","false",413.672813100058,100,100,0.0413672813100058,4,NA,NA,100,147.5,"10^-88.608",NA,NA,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00754065,0.0352623,NA,NA,"",0,0,0
"875","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",147711,1,12059,"Rhinovirus A","","viruses","false",213.533528331422,12.9235470850183,6.84731036443782,0.889396548165125,86,6,64,91.8224,394.421,"10^-183.768",0.0129956,0.127992,NA,NA,12.9235470850183,1.28238572061018,124,7,104,80.6358,101.566,"10^-92.1533",0.0099966,0.0984551,NA,NA,"",0,0,0
"876","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",169066,1,12059,"Human rhinovirus sp.","","viruses","false",158.614905030699,100,100,0.124101843930017,12,1,5,98.4406,267.9,"10^-107.33",NA,NA,NA,NA,100,0.0620509219650087,6,1,5,98.0617,79.6667,"10^-101.609",NA,NA,NA,NA,"",0,0,0
"877","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",141643,1,2045110,"Sarcinofilum mucosum","","eukaryota","false",206.836406550029,100,100,0.0206836406550029,2,NA,NA,100,150,"10^-90.3098",NA,NA,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.000221467,0.0021812,NA,NA,"",0,0,0
"878","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",1017,1,1016,"Capnocytophaga gingivalis","","bacteria","false",187.739630139521,99,99,4.58142640508315,443,2,426,96.9101,1667.42,"10^-299.143",0.00364085,0.0225482,NA,NA,6.44494669521838,1.56161486945272,151,1,149,96.5269,87.7164,"10^-43.9782",0.0659232,0.232072,NA,NA,"",1.00129212274602,4.4879660490873e-83,2.39259117186442e-82
"879","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",1018,1,1016,"Capnocytophaga ochracea","","bacteria","false",-0.00163865954124676,-0.184379316086944,-0.193518065715929,0.0206836406550029,2,NA,NA,99.3,150,"10^-88.9208",0.508175,2.5191,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0188231,0.102089,NA,NA,"",0.0175703367301728,1.16271638814887e-05,5.5220453832439e-05
"880","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",113107,1,1301,"Streptococcus australis","","bacteria","false",171.965513979045,99,99,8.88362366132375,859,2,850,99.5439,1709.53,"10^-305.643",0.00201413,0.0198369,NA,NA,-0.142828159607275,0.0310254609825044,3,NA,NA,100,43.3333,"10^-307.653",0.933001,6.31511,NA,NA,"",0.263555050952592,0,0
"881","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",1311,1,1301,"Streptococcus agalactiae","","bacteria","false",0.0276852733758699,0.138588623799253,-0.221325629976573,0.0206836406550029,2,NA,NA,100,96,"10^-53.4437",0.411828,1.76728,NA,NA,0.138588623799253,1.04452385307765,101,1,99,94.8454,105.779,"10^-66.8769",0.683136,2.60763,NA,NA,"",0.0737919404547305,0.000662908322994772,0.00305374077259394
"883","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",1902136,1,1301,"Streptococcus sp. NPS 308","","bacteria","false",-0.000682081561516775,-0.168651846601862,-0.168651846601862,0.0206836406550029,2,NA,NA,95.7,150,"10^-81.3858",2.18334,12.8232,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00262084,0.0148948,NA,NA,"",0,0,0
"885","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",1759399,1,1301,"Streptococcus sp. A12","","bacteria","false",-0.000801344490576885,-0.198140861335534,-0.198140861335534,0.0206836406550029,2,NA,NA,92,150,"10^-73.8383",1.09707,5.43243,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0112882,0.0444987,NA,NA,"",0,0,0
"890","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",712633,1,1301,"Streptococcus sp. oral taxon 431","","bacteria","false",-0.0468740606591876,-0.194158315054715,-0.210729181054645,1.13760023602516,110,1,88,98.6514,374.55,"10^-255.494",2.92895,8.50072,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.00320435,0.0165038,NA,NA,"",0,0,0
"892","OPS015_UGD-HIV-PNEU_BAL_RNA_1165_G2_S66",187326,1,906,"Megasphaera micronuciformis","","bacteria","false",1.95465855409697,100,100,0.0206836406550029,2,NA,NA,100,150,"10^-90.3098",NA,NA,NA,NA,1.23222034334271,0.165469125240023,16,NA,NA,99.2674,46.4286,"10^-270.51",0.0209802,0.117259,NA,NA,"",0,0,0
