"","sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","expected_bg_count","p_val","p_adj"
"968","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",128,1,127,"Isosphaera pallida","","bacteria","false",10411218.5577214,99,99,1062.26084661988,100030,1,100029,82.6421,529.994,"10^-56.7929",0.0488695,0.236371,NA,NA,-100,0,0,NA,NA,0,0,"10^0",0.0227618,0.0777387,NA,NA,"",7.21910999113868,0,0
"969","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",907,1,906,"Megasphaera elsdenii","","bacteria","false",24666.061033889,9.345383645632,9.345383645632,26.6228925569932,2507,5,2333,88.0783,354.46,"10^-112.037",0.633661,2.78097,NA,NA,5.13715248276516,0.0955748037546625,9,1,4,100,31.2222,"10^-174.394",0.00314767,0.0179919,NA,NA,"",5.05313911341125,1.98900702440959e-109,1.06388747817257e-108
"970","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",39778,1,29465,"Veillonella dispar","","bacteria","false",1269105.72065433,100,100,912.410173755206,85919,210,83070,99.2449,731.775,"10^-244.325",NA,NA,NA,NA,62.3331968629632,81.2492026141026,7651,62,6805,98.057,81.2819,"10^-75.1533",0.379983,1.29737,NA,NA,"",235.057279083774,4.95773720064498e-85,2.64741522157162e-84
"971","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",39777,1,29465,"Veillonella atypica","","bacteria","false",20506.6950294288,65.6817337261623,5.55295012061866,102.211942904292,9625,81,7511,95.185,492.818,"10^-215.24",3.26448,17.8189,NA,NA,65.6817337261623,17.1397481400028,1614,59,726,97.4266,93.855,"10^-200.892",0.0400999,0.260341,NA,NA,"",33.6891799586472,1.96191481830383e-66,1.03904041364117e-65
"972","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",29466,1,29465,"Veillonella parvula","","bacteria","false",4655.1892085396,23.8890518681517,0.409013979993129,41.54318136536,3912,77,1615,98.0137,210.028,"10^-94.6155",12.4919,71.0276,NA,NA,23.8890518681517,16.0884252987015,1515,63,492,98.6901,73.557,"10^-215.809",0.230586,0.663812,NA,NA,"",280.799515192349,0.000148187847050735,0.000690542500004874
"973","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",248315,1,29465,"Veillonella rodentium","","bacteria","false",1825.62375370687,100,100,1.27433071672883,120,1,4,96.3749,127.154,"10^-66.4237",NA,NA,NA,NA,100,0.116813649033476,11,NA,NA,98.7818,45.2727,"10^-232.273",NA,NA,NA,NA,"",0,0,0
"974","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",419208,1,29465,"Veillonella denticariosi","","bacteria","false",290.769171632216,100,100,0.0530971131970347,5,NA,NA,98,150,"10^-86.1871",NA,NA,NA,NA,100,0.191149607509325,18,1,12,99.7533,65.9444,"10^-105.707",NA,NA,NA,NA,"",0,0,0
"975","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",1382,1,1380,"Atopobium parvulum","","bacteria","false",850827.907269666,99,99,86.7713023865942,8171,11,7770,99.1014,2362.23,"10^-294.169",0.0681826,0.279406,NA,NA,21.6500589759737,2.42122836178478,228,7,45,96.1813,58.3515,"10^-226.16",0.0123995,0.111262,NA,NA,"",40.1859031899003,7.6530345081026e-48,4.02659658759647e-47
"976","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",46124,1,117563,"Granulicatella adiacens","","bacteria","false",561308.638863256,99,99,57.2705462943217,5393,2,5345,99.1234,2408.23,"10^-304.854",0.00458005,0.0245224,NA,NA,1.2500044592486,0.817695543234335,77,2,14,98.4168,55.7101,"10^-234.575",0.104783,0.570328,NA,NA,"",0,0,0
"977","OPS015_UGD-HIV-PNEU_BAL_RNA_1166_I2_S78",83683,1,1578,"Lactobacillus amylolyticus","","bacteria","false",176436.206190341,99,-0.124521216606667,0.0212388452788139,2,NA,NA,80.077,261,"10^-44.2487",0.0759191,0.439124,NA,NA,99,333.311818383066,31387,3,31380,64.8472,171.004,"10^-58.0558",0.0020794,0.0185946,NA,NA,"",0,0,0
